name,description,image,attribute::Grid Dominion,attribute::Cloaking Power,attribute::Code Stratagem,attribute::Veil Assault,attribute::Pulse Fortitude,attribute::Reward Modulation
Genesis Key Card #21,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Fading Mist,Emerging Tactic,Phantom Overthrow,Iron Constitution,Genesis
Genesis Key Card #22,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Partial Scheme,Fierce Breach,Radiant Tenacity,Genesis
Genesis Key Card #23,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Fading Mist,Emerging Tactic,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #24,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Quiet Shadow,Emerging Tactic,Subtle Slash,Iron Constitution,Genesis
Genesis Key Card #25,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Ambush Onslaught,Stealth Barrier,Masterful Hack,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #26,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Fading Mist,Partial Scheme,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #27,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Phantom Conquest,Fading Mist,Partial Scheme,Fierce Breach,Iron Constitution,Genesis
Genesis Key Card #28,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Masterful Hack,Fierce Breach,Resonant Stamina,Genesis
Genesis Key Card #29,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Fading Mist,Emerging Tactic,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #30,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Phantom Conquest,Fading Mist,Emerging Tactic,Subtle Slash,Radiant Tenacity,Genesis
Genesis Key Card #31,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Ambush Onslaught,Quiet Shadow,Emerging Tactic,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #32,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Fading Mist,Emerging Tactic,Subtle Slash,Iron Constitution,Genesis
Genesis Key Card #33,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Fading Mist,Intact Blueprint,Subtle Slash,Radiant Tenacity,Genesis
Genesis Key Card #34,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Intense Blitz,Quiet Shadow,Phantom Stratagem,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #35,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Fading Mist,Emerging Tactic,Surgical Strike,Resonant Stamina,Genesis
Genesis Key Card #36,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Quiet Shadow,Masterful Hack,Surgical Strike,Phantom Command,Genesis
Genesis Key Card #37,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Emerging Tactic,Surgical Strike,Silent Endurance,Genesis
Genesis Key Card #38,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Ambush Onslaught,Stealth Barrier,Partial Scheme,Subtle Slash,Radiant Tenacity,Genesis
Genesis Key Card #39,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Phantom Conquest,Fading Mist,Intact Blueprint,Subtle Slash,Iron Constitution,Genesis
Genesis Key Card #40,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Stealth Barrier,Emerging Tactic,Phantom Overthrow,Iron Constitution,Genesis
Genesis Key Card #41,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Ambush Onslaught,Fading Mist,Intact Blueprint,Subtle Slash,Iron Constitution,Genesis
Genesis Key Card #42,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Deep Camouflage,Emerging Tactic,Subtle Slash,Radiant Tenacity,Genesis
Genesis Key Card #43,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Partial Scheme,Subtle Slash,Radiant Tenacity,Genesis
Genesis Key Card #44,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Fading Mist,Emerging Tactic,Fierce Breach,Silent Endurance,Genesis
Genesis Key Card #45,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Ambush Onslaught,Stealth Barrier,Intact Blueprint,Fierce Breach,Iron Constitution,Genesis
Genesis Key Card #46,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Fading Mist,Phantom Stratagem,Surgical Strike,Silent Endurance,Genesis
Genesis Key Card #47,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Fading Mist,Emerging Tactic,Surgical Strike,Iron Constitution,Genesis
Genesis Key Card #48,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Fading Mist,Phantom Stratagem,Fierce Breach,Silent Endurance,Genesis
Genesis Key Card #49,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Fading Mist,Intact Blueprint,Surgical Strike,Iron Constitution,Genesis
Genesis Key Card #50,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Deep Camouflage,Partial Scheme,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #51,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Ambush Onslaught,Fading Mist,Partial Scheme,Subtle Slash,Radiant Tenacity,Genesis
Genesis Key Card #52,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Quiet Shadow,Phantom Stratagem,Phantom Overthrow,Resonant Stamina,Genesis
Genesis Key Card #53,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Ambush Onslaught,Quiet Shadow,Emerging Tactic,Surgical Strike,Silent Endurance,Genesis
Genesis Key Card #54,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Fading Mist,Masterful Hack,Surgical Strike,Phantom Command,Genesis
Genesis Key Card #55,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Ambush Onslaught,Quiet Shadow,Partial Scheme,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #56,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Stealth Barrier,Intact Blueprint,Surgical Strike,Iron Constitution,Genesis
Genesis Key Card #57,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Quiet Shadow,Emerging Tactic,Surgical Strike,Silent Endurance,Genesis
Genesis Key Card #58,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Fading Mist,Intact Blueprint,Subtle Slash,Radiant Tenacity,Genesis
Genesis Key Card #59,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Stealth Barrier,Emerging Tactic,Subtle Slash,Resonant Stamina,Genesis
Genesis Key Card #60,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Phantom Invisibility,Emerging Tactic,Subtle Slash,Iron Constitution,Genesis
Genesis Key Card #61,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Fading Mist,Partial Scheme,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #62,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Stealth Barrier,Masterful Hack,Subtle Slash,Iron Constitution,Genesis
Genesis Key Card #63,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Intact Blueprint,Radiant Charge,Resonant Stamina,Genesis
Genesis Key Card #64,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Stealth Barrier,Emerging Tactic,Surgical Strike,Radiant Tenacity,Genesis
Genesis Key Card #65,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Stealth Barrier,Emerging Tactic,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #66,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Ambush Onslaught,Deep Camouflage,Partial Scheme,Subtle Slash,Iron Constitution,Genesis
Genesis Key Card #67,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Stealth Barrier,Partial Scheme,Subtle Slash,Iron Constitution,Genesis
Genesis Key Card #68,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Deep Camouflage,Emerging Tactic,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #69,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Fading Mist,Partial Scheme,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #70,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Intense Blitz,Stealth Barrier,Intact Blueprint,Radiant Charge,Silent Endurance,Genesis
Genesis Key Card #71,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Fading Mist,Masterful Hack,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #72,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Fading Mist,Emerging Tactic,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #73,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Stealth Barrier,Emerging Tactic,Radiant Charge,Iron Constitution,Genesis
Genesis Key Card #74,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Quiet Shadow,Partial Scheme,Phantom Overthrow,Iron Constitution,Genesis
Genesis Key Card #75,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Ambush Onslaught,Fading Mist,Partial Scheme,Phantom Overthrow,Resonant Stamina,Genesis
Genesis Key Card #76,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Emerging Tactic,Surgical Strike,Iron Constitution,Genesis
Genesis Key Card #77,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Fading Mist,Emerging Tactic,Surgical Strike,Iron Constitution,Genesis
Genesis Key Card #78,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Stealth Barrier,Emerging Tactic,Subtle Slash,Resonant Stamina,Genesis
Genesis Key Card #79,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Phantom Conquest,Stealth Barrier,Emerging Tactic,Fierce Breach,Silent Endurance,Genesis
Genesis Key Card #80,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Partial Scheme,Fierce Breach,Radiant Tenacity,Genesis
Genesis Key Card #81,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Phantom Invisibility,Partial Scheme,Radiant Charge,Resonant Stamina,Genesis
Genesis Key Card #82,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Ambush Onslaught,Quiet Shadow,Partial Scheme,Surgical Strike,Silent Endurance,Genesis
Genesis Key Card #83,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Ambush Onslaught,Quiet Shadow,Masterful Hack,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #84,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Stealth Barrier,Partial Scheme,Surgical Strike,Iron Constitution,Genesis
Genesis Key Card #85,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Intact Blueprint,Subtle Slash,Radiant Tenacity,Genesis
Genesis Key Card #86,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Fading Mist,Partial Scheme,Surgical Strike,Phantom Command,Genesis
Genesis Key Card #87,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Phantom Invisibility,Phantom Stratagem,Surgical Strike,Resonant Stamina,Genesis
Genesis Key Card #88,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Fading Mist,Emerging Tactic,Surgical Strike,Radiant Tenacity,Genesis
Genesis Key Card #89,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Quiet Shadow,Emerging Tactic,Radiant Charge,Resonant Stamina,Genesis
Genesis Key Card #90,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Fading Mist,Emerging Tactic,Subtle Slash,Iron Constitution,Genesis
Genesis Key Card #91,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Quiet Shadow,Intact Blueprint,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #92,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Deep Camouflage,Emerging Tactic,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #93,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Emerging Tactic,Phantom Overthrow,Resonant Stamina,Genesis
Genesis Key Card #94,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Intense Blitz,Quiet Shadow,Emerging Tactic,Subtle Slash,Iron Constitution,Genesis
Genesis Key Card #95,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Ambush Onslaught,Stealth Barrier,Intact Blueprint,Surgical Strike,Resonant Stamina,Genesis
Genesis Key Card #96,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Intense Blitz,Stealth Barrier,Intact Blueprint,Fierce Breach,Iron Constitution,Genesis
Genesis Key Card #97,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Quiet Shadow,Partial Scheme,Surgical Strike,Silent Endurance,Genesis
Genesis Key Card #98,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Intense Blitz,Fading Mist,Emerging Tactic,Subtle Slash,Iron Constitution,Genesis
Genesis Key Card #99,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Stealth Barrier,Emerging Tactic,Radiant Charge,Silent Endurance,Genesis
Genesis Key Card #100,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Intense Blitz,Quiet Shadow,Intact Blueprint,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #101,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Fading Mist,Emerging Tactic,Subtle Slash,Iron Constitution,Genesis
Genesis Key Card #102,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Intense Blitz,Fading Mist,Emerging Tactic,Radiant Charge,Silent Endurance,Genesis
Genesis Key Card #103,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Emerging Tactic,Radiant Charge,Silent Endurance,Genesis
Genesis Key Card #104,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Stealth Barrier,Partial Scheme,Subtle Slash,Resonant Stamina,Genesis
Genesis Key Card #105,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Fading Mist,Partial Scheme,Subtle Slash,Iron Constitution,Genesis
Genesis Key Card #106,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Ambush Onslaught,Quiet Shadow,Emerging Tactic,Surgical Strike,Silent Endurance,Genesis
Genesis Key Card #107,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Intense Blitz,Fading Mist,Emerging Tactic,Surgical Strike,Silent Endurance,Genesis
Genesis Key Card #108,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Fading Mist,Intact Blueprint,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #109,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Stealth Barrier,Phantom Stratagem,Fierce Breach,Iron Constitution,Genesis
Genesis Key Card #110,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Deep Camouflage,Partial Scheme,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #111,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Intense Blitz,Fading Mist,Intact Blueprint,Fierce Breach,Phantom Command,Genesis
Genesis Key Card #112,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Steady Barrage,Quiet Shadow,Partial Scheme,Surgical Strike,Iron Constitution,Genesis
Genesis Key Card #113,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Stealth Barrier,Intact Blueprint,Subtle Slash,Silent Endurance,Genesis
Genesis Key Card #114,Behold your freedom.,https://drive.google.com/file/d/1E3r886nQBiM0eMe5QGlEtrdNIIYcr5pK/view?usp=sharing,Whispering Strike,Quiet Shadow,Emerging Tactic,Subtle Slash,Iron Constitution,Genesis
